s        Dmax   p      w      H                 
5000     50     100    0.2    40966099.2        
5000     50     100    0.4    43632197.4        
5000     50     100    0.6    46298295.6        
5000     50     100    0.8    48964393.8        
5000     50     200    0.2    17653906.4        
5000     50     200    0.4    19608295.8        
5000     50     200    0.6    21562685.2        
5000     50     200    0.8    23517074.6        
5000     50     300    0.2    8998795.6         
5000     50     300    0.4    10737109.2        
5000     50     300    0.6    12475422.8        
5000     50     300    0.8    14213736.4        
5000     50     400    0.2    4934043.8         
5000     50     400    0.4    6450942.6         
5000     50     400    0.6    7967841.4         
5000     50     400    0.8    9484740.2         
5000     100    100    0.2    12547993.8        
5000     100    100    0.4    14605658.6        
5000     100    100    0.6    16663323.4        
5000     100    100    0.8    18720988.2        
5000     100    200    0.2    1981248.0         
5000     100    200    0.4    3313463.0         
5000     100    200    0.6    4645678.0         
5000     100    200    0.8    5977893.0         
5000     100    300    0.2    670050.2          
5000     100    300    0.4    1340100.4         
5000     100    300    0.6    2010150.6         
5000     100    300    0.8    2680200.8         
5000     100    400    0.2    313845.0          
5000     100    400    0.4    627690.0          
5000     100    400    0.6    941535.0          
5000     100    400    0.8    1255380.0         
5000     150    100    0.2    2189182.8         
5000     150    100    0.4    3559992.6         
5000     150    100    0.6    4930802.4         
5000     150    100    0.8    6301612.2         
5000     150    200    0.2    309877.0          
5000     150    200    0.4    619754.0          
5000     150    200    0.6    929631.0          
5000     150    200    0.8    1239508.0         
5000     150    300    0.2    138853.2          
5000     150    300    0.4    277706.4          
5000     150    300    0.6    416559.6          
5000     150    300    0.8    555412.8          
5000     150    400    0.2    63681.6           
5000     150    400    0.4    127363.2          
5000     150    400    0.6    191044.8          
5000     150    400    0.8    254726.4          
5000     200    100    0.2    600999.6          
5000     200    100    0.4    1201999.2         
5000     200    100    0.6    1802998.8         
5000     200    100    0.8    2403998.4         
5000     200    200    0.2    105099.6          
5000     200    200    0.4    210199.2          
5000     200    200    0.6    315298.8          
5000     200    200    0.8    420398.4          
5000     200    300    0.2    46744.4           
5000     200    300    0.4    93488.8           
5000     200    300    0.6    140233.2          
5000     200    300    0.8    186977.6          
5000     200    400    0.2    9697.0            
5000     200    400    0.4    19394.0           
5000     200    400    0.6    29091.0           
5000     200    400    0.8    38788.0           
10000    50     100    0.2    52079721.6        
10000    50     100    0.4    55127376.2        
10000    50     100    0.6    58175030.8        
10000    50     100    0.8    61222685.4        
10000    50     200    0.2    24729667.4        
10000    50     200    0.4    27073813.8        
10000    50     200    0.6    29417960.2        
10000    50     200    0.8    31762106.6        
10000    50     300    0.2    13385084.6        
10000    50     300    0.4    15501602.2        
10000    50     300    0.6    17618119.8        
10000    50     300    0.8    19734637.4        
10000    50     400    0.2    8034497.2         
10000    50     400    0.4    10099889.4        
10000    50     400    0.6    12165281.6        
10000    50     400    0.8    14230673.8        
10000    100    100    0.2    16679207.2        
10000    100    100    0.4    19271283.4        
10000    100    100    0.6    21863359.6        
10000    100    100    0.8    24455435.8        
10000    100    200    0.2    3041757.6         
10000    100    200    0.4    4843594.2         
10000    100    200    0.6    6645430.8         
10000    100    200    0.8    8447267.4         
10000    100    300    0.2    866139.4          
10000    100    300    0.4    1718526.8         
10000    100    300    0.6    2570914.2         
10000    100    300    0.8    3423301.6         
10000    100    400    0.2    460338.4          
10000    100    400    0.4    920676.8          
10000    100    400    0.6    1381015.2         
10000    100    400    0.8    1841353.6         
10000    150    100    0.2    3109184.8         
10000    150    100    0.4    4851523.6         
10000    150    100    0.6    6593862.4         
10000    150    100    0.8    8336201.2         
10000    150    200    0.2    488507.4          
10000    150    200    0.4    977014.8          
10000    150    200    0.6    1465522.2         
10000    150    200    0.8    1954029.6         
10000    150    300    0.2    219213.0          
10000    150    300    0.4    438426.0          
10000    150    300    0.6    657639.0          
10000    150    300    0.8    876852.0          
10000    150    400    0.2    87212.4           
10000    150    400    0.4    174424.8          
10000    150    400    0.6    261637.2          
10000    150    400    0.8    348849.6          
10000    200    100    0.2    760832.4          
10000    200    100    0.4    1521664.8         
10000    200    100    0.6    2282497.2         
10000    200    100    0.8    3043329.6         
10000    200    200    0.2    166717.6          
10000    200    200    0.4    333435.2          
10000    200    200    0.6    500152.8          
10000    200    200    0.8    666870.4          
10000    200    300    0.2    71439.6           
10000    200    300    0.4    142879.2          
10000    200    300    0.6    214318.8          
10000    200    300    0.8    285758.4          
10000    200    400    0.2    25112.6           
10000    200    400    0.4    50225.2           
10000    200    400    0.6    75337.8           
10000    200    400    0.8    100450.4          
20000    50     100    0.2    60785930.2        
20000    50     100    0.4    64156961.4        
20000    50     100    0.6    67527992.6        
20000    50     100    0.8    70899023.8        
20000    50     200    0.2    30806396.0        
20000    50     200    0.4    33459449.0        
20000    50     200    0.6    36112502.0        
20000    50     200    0.8    38765555.0        
20000    50     300    0.2    17754572.0        
20000    50     300    0.4    20285522.0        
20000    50     300    0.6    22816472.0        
20000    50     300    0.8    25347422.0        
20000    50     400    0.2    11142760.2        
20000    50     400    0.4    13559984.4        
20000    50     400    0.6    15977208.6        
20000    50     400    0.8    18394432.8        
20000    100    100    0.2    19942797.4        
20000    100    100    0.4    22827028.8        
20000    100    100    0.6    25711260.2        
20000    100    100    0.8    28595491.6        
20000    100    200    0.2    4944603.8         
20000    100    200    0.4    6661721.6         
20000    100    200    0.6    8378839.4         
20000    100    200    0.8    10095957.2        
20000    100    300    0.2    1607836.0         
20000    100    300    0.4    2588946.0         
20000    100    300    0.6    3570056.0         
20000    100    300    0.8    4551166.0         
20000    100    400    0.2    595514.4          
20000    100    400    0.4    1191028.8         
20000    100    400    0.6    1786543.2         
20000    100    400    0.8    2382057.6         
20000    150    100    0.2    5114512.6         
20000    150    100    0.4    6832942.2         
20000    150    100    0.6    8551371.8         
20000    150    100    0.8    10269801.4        
20000    150    200    0.2    536191.8          
20000    150    200    0.4    1072383.6         
20000    150    200    0.6    1608575.4         
20000    150    200    0.8    2144767.2         
20000    150    300    0.2    277074.6          
20000    150    300    0.4    554149.2          
20000    150    300    0.6    831223.8          
20000    150    300    0.8    1108298.4         
20000    150    400    0.2    117010.8          
20000    150    400    0.4    234021.6          
20000    150    400    0.6    351032.4          
20000    150    400    0.8    468043.2          
20000    200    100    0.2    985000.0          
20000    200    100    0.4    1869895.0         
20000    200    100    0.6    2754790.0         
20000    200    100    0.8    3639685.0         
20000    200    200    0.2    175651.8          
20000    200    200    0.4    351303.6          
20000    200    200    0.6    526955.4          
20000    200    200    0.8    702607.2          
20000    200    300    0.2    92176.6           
20000    200    300    0.4    184353.2          
20000    200    300    0.6    276529.8          
20000    200    300    0.8    368706.4          
20000    200    400    0.2    23307.8           
20000    200    400    0.4    46615.6           
20000    200    400    0.6    69923.4           
20000    200    400    0.8    93231.2           
29514    50     100    0.2    62551871.4        
29514    50     100    0.4    65947333.8        
29514    50     100    0.6    69342796.2        
29514    50     100    0.8    72738258.6        
29514    50     200    0.2    32200905.8        
29514    50     200    0.4    35051528.6        
29514    50     200    0.6    37902151.4        
29514    50     200    0.8    40752774.2        
29514    50     300    0.2    18652713.0        
29514    50     300    0.4    21258796.0        
29514    50     300    0.6    23864879.0        
29514    50     300    0.8    26470962.0        
29514    50     400    0.2    13704895.4        
29514    50     400    0.4    15814104.8        
29514    50     400    0.6    17923314.2        
29514    50     400    0.8    20032523.6        
29514    100    100    0.2    20807392.4        
29514    100    100    0.4    23867366.8        
29514    100    100    0.6    26927341.2        
29514    100    100    0.8    29987315.6        
29514    100    200    0.2    5787290.0         
29514    100    200    0.4    7459336.0         
29514    100    200    0.6    9131382.0         
29514    100    200    0.8    10803428.0        
29514    100    300    0.2    1668798.8         
29514    100    300    0.4    2674052.6         
29514    100    300    0.6    3679306.4         
29514    100    300    0.8    4684560.2         
29514    100    400    0.2    684883.8          
29514    100    400    0.4    1327014.6         
29514    100    400    0.6    1969145.4         
29514    100    400    0.8    2611276.2         
29514    150    100    0.2    5988427.0         
29514    150    100    0.4    7611183.0         
29514    150    100    0.6    9233939.0         
29514    150    100    0.8    10856695.0        
29514    150    200    0.2    586562.6          
29514    150    200    0.4    1173125.2         
29514    150    200    0.6    1759687.8         
29514    150    200    0.8    2346250.4         
29514    150    300    0.2    293023.0          
29514    150    300    0.4    586046.0          
29514    150    300    0.6    879069.0          
29514    150    300    0.8    1172092.0         
29514    150    400    0.2    133074.2          
29514    150    400    0.4    266148.4          
29514    150    400    0.6    399222.6          
29514    150    400    0.8    532296.8          
29514    200    100    0.2    1139697.6         
29514    200    100    0.4    1993141.2         
29514    200    100    0.6    2846584.8         
29514    200    100    0.8    3700028.4         
29514    200    200    0.2    183822.8          
29514    200    200    0.4    367645.6          
29514    200    200    0.6    551468.4          
29514    200    200    0.8    735291.2          
29514    200    300    0.2    93432.0           
29514    200    300    0.4    186864.0          
29514    200    300    0.6    280296.0          
29514    200    300    0.8    373728.0          
29514    200    400    0.2    29723.0           
29514    200    400    0.4    59446.0           
29514    200    400    0.6    89169.0           
29514    200    400    0.8    118892.0          
